tipo,cidade/uf,bairro,endereço,área_total,área_construída,valor,descricao,iptu,condomínio
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Claudio Alessio,"100,00 m²","52,00 m²","R$220.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,2 Quarto(s),2 Vaga(s) de garagem,Área de serviço,Cozinha americana,Cozinha planejada",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Coronel Estevão Alves Correa,"360,00 m²","140,00 m²","R$320.000,00","Sala de TV,1 Suíte,1 Quarto,1 Wc social,2 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Coxim, 202","360,00 m²","102,00 m²","R$750.000,00","Sala de estar,1 Apto,1 Quarto,5 Vaga(s) de garagem",A confirmar,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. das Mamonas,"250,00 m²","127,00 m²","R$549.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Apto,2 Quarto(s),1 Varanda,1 Wc social,4 Vaga(s) de garagem,Alarme,Área de serviço,Câmeras de segurança,Cerca elétrica,Churrasqueira,Cozinha planejada,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Desembargador Eurindo Neves, 183","360,00 m²","210,00 m²","R$580.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,1 Apto com a/e,2 Quarto(s) com a/e,2 Varanda(s),1 Wc social,4 Vaga(s) de garagem,Área de serviço,Cozinha,Interfone,Lavabo,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. do Livramento,"360,00 m²","220,00 m²","R$1.200.000,00","Aceita financiamento,Aceita permuta,Sala de estar,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,4 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. do Livramento, 1350","360,00 m²","220,00 m²","R$1.200.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),2 Varanda(s),2 Wc social,4 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. do LIvramento, 1350","360,00 m²","220,00 m²","R$1.200.000,00","Aceita financiamento,Asfalto,Calçada,Esgoto,Sala de estar,Sala de jantar,Sala de TV,1 Apto,2 Quarto(s),2 Wc social,4 Vaga(s) de garagem,Alarme,Área de lazer,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Cozinha planejada,Escritório,Home theater,Interfone,Jardim,Lavanderia,Pé direito duplo,Piscina,Piscina aquecida,Portão elétrico,Porteiro eletrônico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. do Tesouro, 140","176,00 m²","88,16 m²","R$345.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de TV,1 Suíte,2 Quarto(s),1 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Cozinha,Jardim,Lavanderia",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. dos Bispos,"220,00 m²","110,00 m²","R$498.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Churrasqueira,Cozinha,Lavabo,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Dr. Wilson Coelho,,,"R$470.000,00","Aceita financiamento,Aceita permuta,Água,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,2 Quarto(s) com a/e,2 Varanda(s),1 Wc social,4 Vaga(s) de garagem,Alarme,Área de lazer,Área de serviço,Câmeras de segurança,Cerca elétrica,Churrasqueira,Closet,Cozinha,Cozinha planejada,Interfone,Lavanderia,Piscina,Portão elétrico,WC de serviço",,
